code,tên bệnh VI,tên bệnh EN,synonym
A15.4,"Lao hạch lympho trong lồng ngực, xác nhận về vi trùng học và mô học","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","lao hach lympho trong long nguc, xac nhan ve vi trung hoc va mo hoc | lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học"
A15.5,"Lao thanh quản, khí quản và phế quản, xác nhận về vi trùng học và mô học","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học | lao thanh quan, khi quan va phe quan, xac nhan ve vi trung hoc va mo hoc"
A15.6,"Lao màng phổi, xác nhận về vi trùng học và mô học","Tuberculous pleurisy, confirmed bacteriologically and histologically","lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học | lao mang phoi, xac nhan ve vi trung hoc va mo hoc"
A15.7,"Lao hô hấp sơ nhiễm, xác nhận về vi khuẩn học và mô học","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","lao ho hap so nhiem, xac nhan ve vi khuan hoc va mo hoc | lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học"
A15.8,"Lao hô hấp khác, xác nhận về vi khuẩn học và mô học","Other respiratory tuberculosis, confirmed bacteriologically and histologically","lao ho hap khac, xac nhan ve vi khuan hoc va mo hoc | lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học"
A15.9,"Lao hô hấp không xác định, xác nhận về vi khuẩn học và mô học","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","lao ho hap khong xac dinh, xac nhan ve vi khuan hoc va mo hoc | lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học"
A16,"Lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học","Respiratory tuberculosis, not confirmed bacteriologically or histologically","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc"
A16.0,"Lao phổi, âm tính về vi khuẩn học và mô học","Tuberculosis of lung, bacteriologically and histologically negative","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao phoi, am tinh ve vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A16.1,"Lao phổi, không xét nghiệm vi khuẩn học và mô học","Tuberculosis of lung, bacteriological and histological examination not done","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao phoi, khong xet nghiem vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A16.2,"Lao phổi, không đề cập đến việc xác nhận về vi khuẩn và mô học","Tuberculosis of lung, without mention of bacteriological or histological confirmation","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao phoi, khong de cap den viec xac nhan ve vi khuan va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
